Initiative,Url,Kind,Since,Type,City,State,Country,Region,Diplomat,Host Name,Host Biosphere,Host Website,Affiliates,Github,Tags
Beintobiohacking It,/database/groups/BeInToBiohacking-IT,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Biohacksyd Au,/database/groups/BioHackSyd-AU,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Biotinkering De,/database/groups/BioTinkering-DE,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Biogarage De,/database/groups/Biogarage-DE,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Biohackersnyc Us,/database/groups/BiohackersNYC-US,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Biohackingmexico Mx,/database/groups/BiohackingMexico-MX,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Capcitybiohackers Us,/database/groups/CapCityBiohackers-US,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Capitalareabiospace Us,/database/groups/CapitalAreaBioSpace-US,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diyneurotech Us,/database/groups/DIYNeurotech-US,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybioauckland Nz,/database/groups/DIYbioAuckland-NZ,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybiobuenosaires Ar,/database/groups/DIYbioBuenosAires-AR,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybiochicago Us,/database/groups/DIYbioChicago-US,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybiogroningen Nl,/database/groups/DIYbioGroningen-NL,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybioireland Ir,/database/groups/DIYbioIreland-IR,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybioisrael Il,/database/groups/DIYbioIsrael-IL,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybiomexico Mx,/database/groups/DIYbioMexico-MX,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybioperth Au,/database/groups/DIYbioPerth-AU,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Diybiosingapore Sg,/database/groups/DIYbioSingapore-SG,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Denverbiolabs Us,/database/groups/DenverBiolabs-US,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Gene Garage,/database/groups/GeneGarage-MX,Group,2015,,Guadalajara,Jalisco,Mexico,,,,,,{"name":null,"sphere":null,"web":null},,
Mndiybio Us,/database/groups/MNDIYbio-US,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Manilabiopunk Ph,/database/groups/ManilaBiopunk-PH,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Melbournebiohack Au,/database/groups/MelbourneBiohack-AU,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Tridiybio Us,/database/groups/TriDIYbio-US,Group,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Berkley Biolabs,/database/incubators/BerkleyBiolabs-US,Incubator,2013,,Berkley,California,United States,,,,,,{"name":null,"sphere":null,"web":null},,
Biotechandbeyond Us,/database/incubators/BioTechAndBeyond-US,Incubator,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Harlembiospace Us,/database/incubators/HarlemBiospace-US,Incubator,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Indiebiotech Ir,/database/incubators/IndieBioTech-IR,Incubator,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Sfindiebiotech Us,/database/incubators/SFIndieBioTech-US,Incubator,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Bio Art Laboratores,/database/labs/BioArtLaboratories-NL,Lab,2012,,Eindhoven,,Netherlands,,,,,,{"name":null,"sphere":null,"web":null},,bioart
Biodidact,/database/labs/BioDidact-US,Lab,2014,,Los Alamos,New Mexico,United States,,,,,,{"name":null,"sphere":null,"web":null},,
Bio Foundry,/database/labs/BioFoundry-AU,Lab,2014,,Alexandria,New South Wales,Australia,,,,,,{"name":null,"sphere":null,"web":null},,
Biomakers Lab Peru,/database/labs/BioMakersLab-PE,Lab,2014,,Lima,Lima,Peru,,,,,,{"name":null,"sphere":null,"web":null},,
BioNyfiken,/database/labs/BioNyfiken-SE,Lab,2014,Non-profit,Stockholm,,Sweden,,,,,,{"name":null,"sphere":null,"web":null},,
BuiQuisitive,/database/labs/BioQuisitive-AU,Lab,2015,,Brunswick,Victoria,Australia,,,,,,{"name":null,"sphere":null,"web":null},,
BioSpace,/database/labs/BioSpace-CA,Lab,2013-2015,,Victoria,British Columbia,Canada,,,Victoria Makerspace,,,{"name":null,"sphere":null,"web":null},,
BioTehna,/database/labs/BioTehna-SI,Lab,2013,,Ljubljana,,Slovenia,,,,,,{"name":null,"sphere":null,"web":null},,
Biocurious,/database/labs/Biocurious-US,Lab,2010,,Sunnyvale,California,United States,,,,,,{"name":null,"sphere":null,"web":null},,
BiologiGaragen,/database/labs/BiologiGaragen-DK,Lab,2010,,Copenhagen,,Denmark,,,Labitat,,,{"name":null,"sphere":null,"web":null},,hackerspace
Biologik Labs,/database/labs/BiologikLabs-US,Lab,2013,,Norfolk,Virginia,United States,,,,,,{"name":null,"sphere":null,"web":null},,
Bioscope,/database/labs/Bioscope-CH,Lab,2013,University,Geneva,,Switzerland,,,University of Geneva,,,{"name":null,"sphere":null,"web":null},,
BosLab,/database/labs/BosLab-US,Lab,2014,Non-profit,Boston,Massachussets,United States,,,,,,{"name":null,"sphere":null,"web":null},,
Bricobio,/database/labs/BricoBio-CA,Lab,2013,,Montreal,Quebec,Canada,,,Helios Makerspace,,,{"name":null,"sphere":null,"web":null},,makerspace
Brmlab,/database/labs/BrmBiolab-CZ,Lab,,Non-Profit,Prague,,Czech Republic,,,,,,{"name":null,"sphere":null,"web":null},https://github.com/brmlab,
Bugss,/database/labs/Bugss-US,Lab,2013,,Baltimore,Maryland,United States,,,,,,{"name":null,"sphere":null,"web":null},,
Counter Culture Labs,/database/labs/CounterCultureLabs-US,Lab,2013,Community,Oakland,California,United States,,,,,,{"name":null,"sphere":null,"web":null},,
DIY Bio Barcelona,/database/labs/DIYBioBCN-ES,Lab,2014,Non-Profit,Barcelona,,Spain,,,MADE,,,{"name":null,"sphere":null,"web":null},,
DIYbio FamiLab,/database/labs/DIYBioFamiLab-US,Lab,2014,,Longwood,Florida,United States,,,FamiLAB,,,{"name":null,"sphere":null,"web":null},,makerspace
DIYbio Belgium,/database/labs/DIYbioBelgium-BE,Lab,,Non-Profit,Nivelles,,Belgium,,,,,,{"name":null,"sphere":null,"web":null},,
DIYbio Toronto,/database/labs/DIYbioToronto-CA,Lab,2013,,Toronto,Ontario,Canada,,,HackLab,,,{"name":null,"sphere":null,"web":null},,hackerspace
F-lab,/database/labs/FLab-TH,Lab,,,Bangkok,,Thailand,,,,,,{"name":null,"sphere":null,"web":null},,
Garoa Open BioLab,/database/labs/GaroaOpenBiolab-BR,Lab,2011,,Sao Paolo,Sao Paolo,Brazil,,,Garao Hacker Clube,,,{"name":null,"sphere":null,"web":null},,hackerspace
GaudiLabs,/database/labs/GaudiLabs.CH,Lab,,,Lucerne,,Switzerland,,,,,,{"name":null,"sphere":null,"web":null},,
Gene Garage,/database/labs/GeneGarage-MX,Group,,University,Guadalajara,,Mexico,,,Tecnologico de Monterrey, Campus Guadalajara,,,{"name":null,"sphere":null,"web":null},,
Genspace,/database/labs/Genspace-US,Lab,2010,Non-profit,Brooklyn,New York,United States,,,,,,null,,
Hackuarium,/database/labs/Hackuarium-CH,Lab,2014,,Renens,,Switzerland,,,UniverCite,,,{"name":null,"sphere":null,"web":null},,
HiveBio,/database/labs/HiveBio-US,Lab,2013,,Seattle,Washington,United States,,,,,,{"name":null,"sphere":null,"web":null},,
Indie Lab RVA,/database/labs/IndieLab-US,Lab,2012,,Richmond,Virginia,United States,,,,,,{"name":null,"sphere":null,"web":null},,
L&#39;Eprouvette,/database/labs/LEprouvette-CH,Lab,2005,University,Lausanne,,Switzerland,,,University of Lausanne | Interface Sciences-Societe,,,{"name":null,"sphere":null,"web":null},,
La Jolla Bio Lab,/database/labs/LaJollaBiolab-US,Lab,2015,,La Jolla,California,United States,,,La Jolla Public Library,,,{"name":null,"sphere":null,"web":null},,
La Paillase,/database/labs/LaPaillase-FR,Lab,2016,Non-profit,Geneva,,Switzerland,Europe,sabgaby,,,,null,,
La Paillase Saône,/database/labs/LaPaillaseSaone-FR,Lab,2015,,Villeurbanne,,France,,,La MYNE,,,{"name":null,"sphere":null,"web":null},,
Le Biome,/database/labs/LeBiomeFablab-FR,Lab,,,Rennes,,France,,,,,,{"name":null,"sphere":null,"web":null},,biomimicry
Lifepatch Id,/database/labs/LifePatch-ID,,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
London Biohackspace,/database/labs/LondonBiohackerspace-UK,Lab,2009,,London,,United Kingdom,,,London Hackspace,,,{"name":null,"sphere":null,"web":null},,hackerspace
MadLab Biolab,/database/labs/MadLabBiolab-UK,Lab,,,Manchester,,United Kingdom,,,,,,{"name":null,"sphere":null,"web":null},,
Open bioLab Graz Austria,/database/labs/OpenBioLabGraz-AT,Lab,2013,,Graz,,Austria,,,Real Raum,,,{"name":null,"sphere":null,"web":null},,
Charlottesville Open Bio Labs,/database/labs/OpenBioLabs-US,Lab,2015,Non-Profit,Charlottesville,Charlottesville,United States,,,The School Factory,,,{"name":null,"sphere":null,"web":null},,
Open Science Network,/database/labs/OpenScienceNet-CA,Lab,2010,,Vancouver,British Columbia,Canada,,,MakerLabs,,,{"name":null,"sphere":null,"web":null},,makerspace
Open Wetlab,/database/labs/OpenWetlab-NL,Lab,2012,,Amsterdam,,Netherlands,,,Waag Society,,,{"name":null,"sphere":null,"web":null},,
PechBlenda Lab,/database/labs/PechBlenda-ES,Lab,,,Barcelona,,Spain,,,Calafou,,,{"name":null,"sphere":null,"web":null},,
Reagent,/database/labs/Reagent-BE,Lab,2016,Non-profit,Geneva,,Switzerland,Europe,sabgaby,,,,null,,
Symbiolab,/database/labs/Symbiolab-SI,Lab,2014,,Maribor,,Slovenia,,,Institute for Development of Advanced Applied Systems,,,{"name":null,"sphere":null,"web":null},https://github.com/IRNAS,
The LAb,/database/labs/TheLAb-US,Lab,2011,Community,Los Angeles,California,United States,,,,,,{"name":null,"sphere":null,"web":null},,
The Wet Lab,/database/labs/TheWetlab-US,Lab,2013,,San Diego,California,United States,,,Fab Lab San Diego,,,{"name":null,"sphere":null,"web":null},,
TrySci Community Biolabs,/database/labs/TrySciBiolab-US,Lab,2014,Non-Profit,South,Missouri,United States,,,,,,{"name":null,"sphere":null,"web":null},,
Bio,/database/networks/BioChanges-UK,Network,,,,,,,,,,,{"name":"BioMaker Spaces","sphere":null,"web":null},,
Biodesign for the Real World,/database/networks/BioDesignFTRW-IN,Network,,,,,,,,,,,{"name":"Lifepatch","sphere":null,"web":null},,
DIYbio.org,/database/networks/DIYbio.org-US,Network,2008,Non-profit,Boston,Massachussets,United States,,jasonbobe,,,,{"name":null,"sphere":null,"web":null},,
Hackteria Ch,/database/networks/Hackteria-CH,Network,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Syntechbio Br,/database/networks/SyntechBio-BR,Network,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Biodisplay Nl,/database/projects/BioDisplay-NL,Project,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
DIYbiosphere,/database/projects/DIYbiosphere-ZZ,Project,2016,Non-profit,Geneva,,Switzerland,,sabgaby,DIYbio.org,http://sphere.diybio.org/networks/diybio.org-US,,{"name":"CitizenSciences.net","web":"http://citizensciences.net/"},https://github.com/DIYbiosphere/sphere.dir,database, open-source, software, and website
Opengenx Uk,/database/projects/OpenGenX-UK,Project,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Roningenetics Us,/database/projects/RoninGenetics-US,Project,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
Brightworkcoresearch Us,/database/startups/BrightWorkCoResearch-US,Startup,,,,,,,,,,,{"name":null,"sphere":null,"web":null},,
